imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,30,0,30,0,,,,,,,10,1,7,12.065277777777775,12,0,1,1,163.61125590000302,166.1068971999921,0.000844279769808054,0.500844279769808,166.3245883998461,None,None,None,right,3.7661910001188517,163.1173090999946,None,3.0136852795258164,3.2136852795258166,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,31,0,31,0,,,,,,,10,-1,7,7.258333333333333,7,1,2,1,167.61592609994113,170.1198641997762,0.00949756009504199,0.509497560095042,170.30778180016205,None,None,None,left,3.831861199811101,167.1239403001964,None,3.0003245598636568,3.200324559863657,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,32,0,32,0,,,,,,,11,-1,7,11.588005050505048,12,0,1,1,171.62862409977242,174.13285940000787,0.008511089719831944,0.5085110897198319,174.33288169978186,None,None,None,left,3.853023999836296,171.1379402000457,None,3.01082398975268,3.2108239897526802,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,33,0,33,0,,,,,,,9,-1,7,7.550189393939394,8,1,1,1,175.68684849981219,178.19632219988853,0.01583037944510579,0.5158303794451058,178.38370710005984,None,None,None,left,3.905024599749595,175.19275629986078,None,3.012703479733318,3.2127034797333183,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,34,0,34,0,,,,,,,12,-1,7,11.150505050505048,11,0,1,0,179.78696820000187,182.29283030005172,0.014538879971951246,0.5145388799719512,182.4809948001057,None,None,None,right,4.122684400063008,179.2919450001791,None,3.0091765797697008,3.209176579769701,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,35,0,35,0,,,,,,,13,1,7,11.285120435120433,11,0,1,1,184.08620439982042,186.58945500012487,0.009701789822429419,0.5097017898224294,186.7754891999066,None,None,None,right,3.691232900135219,183.59258549986407,None,3.0001489901915193,3.2001489901915194,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,36,0,36,0,,,,,,,10,1,7,7.425189393939394,7,1,1,0,187.96972690010443,190.47009690012783,0.0063341897912323475,0.5063341897912323,190.67055650008842,None,None,None,left,3.7208066997118294,187.47686150018126,None,3.0068355901166797,3.20683559011668,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,37,0,37,0,,,,,,,5,1,7,16.391666666666666,16,0,2,1,191.8898219000548,194.39990800013766,0.015377979725599289,0.5153779797255993,194.5883663999848,None,None,None,right,3.7672278000973165,191.39639549981803,None,3.012510879896581,3.2125108798965814,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,38,0,38,0,,,,,,,11,-1,7,7.775189393939393,8,1,1,1,195.85057369992137,198.34652579994872,0.0017864895053207874,0.5017864895053208,198.5644478998147,None,None,None,left,3.9746241001412272,195.3562076999806,None,3.014792389702052,3.214792389702052,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,39,0,39,0,,,,,,,14,1,7,10.956995435120433,11,0,1,1,200.01616539992392,202.5267679002136,0.0005655898712575436,0.5005655898712575,202.71519300015643,None,None,None,right,3.7007698002271354,199.52138949977234,None,3.0002543898299336,3.200254389829934,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,40,0,40,0,,,,,,,12,1,7,7.665814393939393,8,1,1,1,203.90793700003996,206.40659399982542,0.0038288901560008526,0.5038288901560009,206.6062675002031,None,None,None,right,4.158092999830842,203.41531280009076,None,3.0009856899268925,3.2009856899268927,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,41,0,41,0,,,,,,,11,-1,7,7.148958333333333,7,1,2,0,208.25281239999458,210.75279169995338,0.00818458991125226,0.5081845899112523,210.95430279988796,None,None,None,right,4.951552900020033,207.75821179989725,None,3.0091930897906423,3.2091930897906424,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,42,0,42,0,,,,,,,13,1,7,7.562873217468805,8,1,1,0,213.4021417000331,215.89915800001472,0.002811489161103964,0.502811489161104,216.1006638999097,None,None,None,left,3.8908195002004504,212.90828939992934,None,3.000002689193934,3.2000026891939344,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,43,0,43,0,,,,,,,12,1,7,7.440625,7,1,2,1,217.49385299999267,219.99557550018653,0.0075890799053013325,0.5075890799053013,220.19513420015574,None,None,None,right,3.7574616000056267,217.0008904999122,None,3.0090617798268795,3.2090617798268797,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
